%
% Comments go after a '%' sign.
%
%
% Relation: Exoplanets Candidates Kepler
%
%
% Attributes: 39     Instances: 956
%
%

@relation Exoplanets Candidates Kepler

@attribute 'DispositionScore' numeric
@attribute 'OrbitalPeriod[days' numeric
@attribute 'OrbitalPeriodUpperUnc.[days' numeric
@attribute 'OrbitalPeriodLowerUnc.[days' numeric
@attribute 'TransitEpoch[BKJD' numeric
@attribute 'TransitEpochUpperUnc.[BKJD' numeric
@attribute 'TransitEpochLowerUnc.[BKJD' numeric
@attribute 'ImpactParamete' numeric
@attribute 'ImpactParameterUpperUnc' numeric
@attribute 'ImpactParameterLowerUnc' numeric
@attribute 'TransitDuration[hrs' numeric
@attribute 'TransitDurationUpperUnc.[hrs' numeric
@attribute 'TransitDurationLowerUnc.[hrs' numeric
@attribute 'TransitDepth[ppm' numeric
@attribute 'TransitDepthUpperUnc.[ppm' numeric
@attribute 'TransitDepthLowerUnc.[ppm' numeric
@attribute 'PlanetaryRadius[Earthradii' numeric
@attribute 'PlanetaryRadiusUpperUnc.[Earthradii' numeric
@attribute 'PlanetaryRadiusLowerUnc.[Earthradii' numeric
@attribute 'EquilibriumTemperature[K' numeric
@attribute 'InsolationFlux[Earthflux' numeric
@attribute 'InsolationFluxUpperUnc.[Earthflux' numeric
@attribute 'InsolationFluxLowerUnc.[Earthflux' numeric
@attribute 'TransitSignal-to-Nois' numeric
@attribute 'TCEPlanetNumbe' numeric
@attribute 'StellarEffectiveTemperature[K' numeric
@attribute 'StellarEffectiveTemperatureUpperUnc.[K' numeric
@attribute 'StellarEffectiveTemperatureLowerUnc.[K' numeric
@attribute 'StellarSurfaceGravity[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityUpperUnc.[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityLowerUnc.[log10(cm/s**2)' numeric
@attribute 'StellarRadius[Solarradii' numeric
@attribute 'StellarRadiusUpperUnc.[Solarradii' numeric
@attribute 'StellarRadiusLowerUnc.[Solarradii' numeric
@attribute 'RA[decimaldegrees' numeric
@attribute 'Dec[decimaldegrees' numeric
@attribute 'Kepler-band[mag]' numeric
@attribute 'ExoplanetCandidate' numeric
@attribute 'ExoplanetConfirmed' numeric

@data
0.0,0.566809491,3.77e-06,-3.77e-06,131.79695,0.00316,-0.00316,0.484,0.45,-0.26,3.156,0.294,-0.294,69.5,4.6,-4.6,0.55,0.06,-0.05,1656.0,1790.3,671.14,-473.35,21.0,1.0,4987.0,149.0,-149.0,4.611,0.066,-0.048,0.654,0.069,-0.058,291.3194,42.5495,14.873,0,0
0,0.530300102,2.54e-07,-2.54e-07,354.985736,0.000335,-0.000335,1.2507,0.2616,-0.092,2.8502,0.0223,-0.0223,3040.0,17.9,-17.9,35.73,14.5,-3.23,2410.0,7972.18,9658.43,-2287.03,207.4,0,6184.0,179.0,-225.0,4.448,0.045,-0.269,1.038,0.42,-0.094,299.26038,41.420231,15.435,0,0
0.999,4.79029482,1.97e-05,-1.97e-05,134.95277,0.00325,-0.00325,0.46,0.068,-0.414,2.7219,0.09,-0.09,142.0,7.0,-7.0,1.01,0.11,-0.04,938.0,183.02,51.32,-23.82,23.1,1.0,5412.0,72.0,-80.0,4.562,0.017,-0.099,0.843,0.086,-0.033,292.08478,49.23748,14.102,1,2
0.035,281.509095,0.00154,-0.00154,171.52715,0.00636,-0.00636,0.626,0.022,-0.064,40.963,0.427,-0.427,5950.0,36.0,-36.0,85.77,18.3,-18.3,685.0,52.05,29.61,-22.57,182.5,1.0,4797.0,76.0,-104.0,2.632,0.033,-0.03,10.709,2.289,-2.289,287.37662,43.009491,10.974,0,0
0.284,10.34973276,2.95e-05,-2.95e-05,174.06193,0.00233,-0.00233,0.905,0.043,-0.624,4.4859,0.0722,-0.0722,119.0,2.8,-2.8,1.44,0.04,-0.05,930.0,177.25,24.08,-24.09,44.5,1.0,6003.0,96.0,-108.0,4.303,0.018,-0.014,1.109,0.036,-0.04,295.22644,50.558979,11.811,1,2
1.0,20.86021229,2.39e-05,-2.39e-05,180.017757,0.000934,-0.000934,0.066,0.253,-0.065,5.1937,0.0335,-0.0335,1910.0,17.5,-17.5,5.5,0.82,-1.09,781.0,87.76,37.54,-35.79,117.0,1.0,6035.0,120.0,-120.0,4.22,0.168,-0.112,1.257,0.187,-0.25,294.02301,45.853081,15.237,1,2
0.0,583.73632,0.0504,-0.0504,174.6085,0.037,-0.037,0.126,0.329,-0.126,15.75,1.9,-1.9,339.0,33.5,-33.5,2.65,0.46,-0.51,266.0,1.19,0.54,-0.46,11.4,1.0,6003.0,80.0,-80.0,4.176,0.162,-0.108,1.442,0.253,-0.278,285.80096,45.571739,14.495,0,0
1.0,10.06524317,1.49e-05,-1.49e-05,136.28906,0.00119,-0.00119,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1050.0,39.2,-39.2,1.91,0.1,-0.12,488.0,13.43,2.69,-2.5,30.3,2.0,4077.0,81.0,-81.0,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385,1,2
0.0,1.956811408,1.06e-06,-1.06e-06,170.694208,0.00043,-0.00043,1.091,11.83,-0.023,2.1958,0.0257,-0.0257,24900.0,244.0,-244.0,21.58,1.33,-1.47,1109.0,357.16,100.66,-82.23,125.4,1.0,5209.0,171.0,-155.0,4.657,0.063,-0.032,0.603,0.037,-0.041,295.83536,42.943062,15.533,0,0
0.972,3.619309734,6.75e-06,-6.75e-06,135.44164,0.00157,-0.00157,0.116,0.343,-0.116,3.0504,0.0489,-0.0489,207.0,5.0,-5.0,1.47,0.23,-0.15,1156.0,422.53,186.05,-110.91,47.4,2.0,5497.0,109.0,-109.0,4.394,0.09,-0.11,1.046,0.161,-0.111,295.41281,46.266472,13.967,1,2
0,37.959659,0.0011,-0.0011,145.234,0.017,-0.017,0.3842,0.1241,-0.3492,2.793,0.487,-0.487,288.0,55.8,-55.8,1.41,0.47,-0.11,484.0,12.93,12.58,-3.09,6.9,1.0,5573.0,154.0,-146.0,4.558,0.03,-0.223,0.827,0.273,-0.066,286.30084,49.211319,15.337,1,1
0.0,2.908454772,8.93e-07,-8.93e-07,132.315694,0.00026,-0.00026,1.113,0.505,-0.186,2.6005,0.0186,-0.0186,64300.0,279.0,-279.0,40.85,6.52,-4.87,1153.0,416.75,212.8,-129.84,252.8,1.0,5631.0,166.0,-166.0,4.518,0.105,-0.105,0.764,0.122,-0.091,286.0722,38.972229,14.661,0,0
0,78.876125,0.00209,-0.00209,205.1282,0.021,-0.021,0.2209,0.2549,-0.2209,4.912,0.391,-0.391,472.0,66.2,-66.2,2.03,0.84,-0.19,427.0,7.86,9.78,-2.23,8.1,1.0,6046.0,177.0,-213.0,4.509,0.041,-0.301,0.927,0.384,-0.084,292.74023,41.37896,15.819,1,1
1.0,5.902245782,7.37e-06,-7.37e-06,136.78393,0.00101,-0.00101,0.209,0.165,-0.209,2.9003,0.0317,-0.0317,702.0,12.8,-12.8,2.43,0.27,-0.18,926.0,173.74,58.69,-36.35,59.3,3.0,5427.0,108.0,-108.0,4.463,0.064,-0.088,0.929,0.104,-0.069,292.87338,42.966141,15.158,1,2
