%
% Comments go after a '%' sign.
%
%
% Relation: Exoplanets Candidates Kepler
%
%
% Attributes: 39     Instances: 956
%
%

@relation Exoplanets Candidates Kepler

@attribute 'DispositionScore' numeric
@attribute 'OrbitalPeriod[days' numeric
@attribute 'OrbitalPeriodUpperUnc.[days' numeric
@attribute 'OrbitalPeriodLowerUnc.[days' numeric
@attribute 'TransitEpoch[BKJD' numeric
@attribute 'TransitEpochUpperUnc.[BKJD' numeric
@attribute 'TransitEpochLowerUnc.[BKJD' numeric
@attribute 'ImpactParamete' numeric
@attribute 'ImpactParameterUpperUnc' numeric
@attribute 'ImpactParameterLowerUnc' numeric
@attribute 'TransitDuration[hrs' numeric
@attribute 'TransitDurationUpperUnc.[hrs' numeric
@attribute 'TransitDurationLowerUnc.[hrs' numeric
@attribute 'TransitDepth[ppm' numeric
@attribute 'TransitDepthUpperUnc.[ppm' numeric
@attribute 'TransitDepthLowerUnc.[ppm' numeric
@attribute 'PlanetaryRadius[Earthradii' numeric
@attribute 'PlanetaryRadiusUpperUnc.[Earthradii' numeric
@attribute 'PlanetaryRadiusLowerUnc.[Earthradii' numeric
@attribute 'EquilibriumTemperature[K' numeric
@attribute 'InsolationFlux[Earthflux' numeric
@attribute 'InsolationFluxUpperUnc.[Earthflux' numeric
@attribute 'InsolationFluxLowerUnc.[Earthflux' numeric
@attribute 'TransitSignal-to-Nois' numeric
@attribute 'TCEPlanetNumbe' numeric
@attribute 'StellarEffectiveTemperature[K' numeric
@attribute 'StellarEffectiveTemperatureUpperUnc.[K' numeric
@attribute 'StellarEffectiveTemperatureLowerUnc.[K' numeric
@attribute 'StellarSurfaceGravity[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityUpperUnc.[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityLowerUnc.[log10(cm/s**2)' numeric
@attribute 'StellarRadius[Solarradii' numeric
@attribute 'StellarRadiusUpperUnc.[Solarradii' numeric
@attribute 'StellarRadiusLowerUnc.[Solarradii' numeric
@attribute 'RA[decimaldegrees' numeric
@attribute 'Dec[decimaldegrees' numeric
@attribute 'Kepler-band[mag]' numeric
@attribute 'ExoplanetCandidate' numeric
@attribute 'ExoplanetConfirmed' numeric

@data
0.253,235.544698,0.00823,-0.00823,191.2774,0.0224,-0.0224,0.005,0.453,-0.005,8.93,0.825,-0.825,299.0,35.9,-35.9,2.13,0.55,-0.55,316.0,2.36,1.84,-1.21,9.2,1.0,5533.0,166.0,-166.0,4.244,0.22,-0.16,1.255,0.325,-0.325,284.93216,41.45401,14.489,0,0
0.0,1.33259275,1.12e-05,-1.12e-05,132.01197,0.00702,-0.00702,0.833,0.002,-0.601,4.014,0.251,-0.251,79.1,5.8,-5.8,0.97,0.3,-0.1,1703.0,1983.27,1842.11,-586.39,15.9,1.0,6091.0,180.0,-198.0,4.487,0.052,-0.208,0.967,0.3,-0.1,295.2951,46.775841,15.3,0,0
0.0,9.751720174,2.49e-06,-2.49e-06,138.538319,0.000205,-0.000205,0.15,0.009,-0.009,16.1937,0.0156,-0.0156,333000.0,268.0,-268.0,182.09,84.8,-56.5,1356.0,800.41,1098.38,-452.88,1767.3,1.0,5147.0,129.0,-116.0,3.424,0.285,-0.285,3.145,1.465,-0.976,289.30081,41.526508,13.531,0,0
0.0,2.97599368,5.19e-05,-5.19e-05,132.9759,0.013,-0.013,0.243,0.234,-0.243,4.023,0.496,-0.496,55.0,5.0,-5.0,0.79,0.24,-0.11,1395.0,894.1,818.31,-303.01,13.0,1.0,6202.0,175.0,-197.0,4.394,0.09,-0.21,1.055,0.326,-0.14,290.12021,38.534821,14.11,0,0
0.936,6.36283414,8.12e-05,-8.12e-05,131.8069,0.00925,-0.00925,0.141,0.319,-0.141,3.752,0.309,-0.309,159.0,19.1,-19.1,1.12,0.32,-0.11,956.0,197.84,169.7,-55.09,9.9,1.0,5955.0,161.0,-178.0,4.534,0.036,-0.204,0.883,0.258,-0.086,285.22415,40.958931,15.567,1,1
1.0,4.8591441,0.000116,-0.000116,132.6666,0.0195,-0.0195,0.932,0.005,-0.009,3.8588,0.0867,-0.0867,2180.0,38.1,-38.1,6.9,2.23,-0.96,1303.0,681.41,636.46,-251.08,81.6,1.0,6586.0,164.0,-258.0,4.361,0.07,-0.21,1.207,0.391,-0.168,297.94922,40.530708,14.113,0,0
0.0,1.219324537,1.41e-06,-1.41e-06,131.94673,0.00121,-0.00121,0.489,0.034,-0.032,4.7501,0.0269,-0.0269,379000.0,1680.0,-1680.0,60.62,14.7,-7.9,1569.0,1432.21,1102.78,-479.51,241.0,1.0,5455.0,191.0,-172.0,4.458,0.104,-0.156,0.897,0.217,-0.117,293.76782,46.237591,16.4,0,0
0.704,0.893040969,4.61e-07,-4.61e-07,134.540342,0.000418,-0.000418,0.009,0.398,-0.009,1.0981,0.0159,-0.0159,742.0,10.2,-10.2,1.24,0.1,-0.15,893.0,151.14,42.14,-45.33,87.8,2.0,3582.0,71.0,-89.0,4.807,0.05,-0.045,0.458,0.04,-0.055,283.73203,45.958771,15.073,1,2
0.0,44.18938922,8.51e-05,-8.51e-05,209.98968,0.00151,-0.00151,1.03,1.308,-0.075,6.8151,0.0728,-0.0728,4290.0,48.7,-48.7,14.0,4.06,-1.75,537.0,19.73,16.82,-6.52,102.0,1.0,6061.0,164.0,-200.0,4.438,0.087,-0.203,0.968,0.281,-0.121,286.5242,37.985432,14.882,0,0
0.0,4.426942241,3.53e-06,-3.53e-06,133.564383,0.00067,-0.00067,0.951,0.119,-0.033,1.6116,0.0565,-0.0565,2900.0,54.8,-54.8,5.43,0.92,-0.5,958.0,199.4,111.13,-53.33,68.9,1.0,5511.0,180.0,-163.0,4.569,0.056,-0.096,0.746,0.127,-0.068,287.13815,39.673592,15.469,0,0
0.0,1.674984844,3.49e-07,-3.49e-07,131.793034,0.000197,-0.000197,0.731,0.011,-0.018,4.92134,0.00828,-0.00828,235000.0,322.0,-322.0,150.48,27.5,-47.2,3055.0,20561.29,11083.15,-12489.94,858.8,1.0,8285.0,200.0,-371.0,3.971,0.221,-0.136,2.451,0.448,-0.768,293.57437,48.007439,14.567,0,0
0,0.87985197,0,0,131.7662713,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,293.2829,41.969261,15.867,0,0
0.999,22.40777833,7.39e-05,-7.39e-05,153.79858,0.00259,-0.00259,0.147,0.291,-0.147,3.2881,0.0756,-0.0756,661.0,20.8,-20.8,1.15,0.1,-0.14,319.0,2.44,0.7,-0.71,33.9,4.0,3751.0,75.0,-84.0,4.8,0.065,-0.035,0.443,0.04,-0.053,298.65271,43.955021,14.625,1,2
0.0,5.77675928,1.48e-05,-1.48e-05,143.09616,0.00224,-0.00224,1.272,3.833,-0.127,6.789,0.425,-0.425,3520.0,0.3,-0.3,32.77,9.1,-5.58,954.0,195.79,163.88,-76.44,141.4,1.0,5544.0,166.0,-166.0,4.435,0.157,-0.21,0.875,0.243,-0.149,298.80206,44.420349,14.572,0,0
0.0,20.2340219,0.000201,-0.000201,141.38622,0.00792,-0.00792,0.249,0.21,-0.249,3.674,0.274,-0.274,194.0,20.0,-20.0,0.99,0.19,-0.08,562.0,23.53,15.35,-6.34,11.5,1.0,5528.0,210.0,-191.0,4.627,0.038,-0.12,0.71,0.137,-0.059,298.76404,48.64492,13.776,0,0
1.0,2.032318856,4.59e-06,-4.59e-06,132.64394,0.00189,-0.00189,0.009,0.46,-0.009,1.1596,0.0625,-0.0625,288.0,18.4,-18.4,1.12,0.08,-0.03,1011.0,247.21,59.27,-32.94,20.4,1.0,4670.0,93.0,-93.0,4.635,0.012,-0.048,0.682,0.048,-0.021,291.66928,42.59071,15.13,1,2
0.969,64.1862264,0.000994,-0.000994,191.65639,0.00929,-0.00929,0.968,0.01,-0.681,8.485,0.311,-0.311,507.0,28.3,-28.3,8.0,1.45,-2.69,839.0,116.97,64.13,-72.31,18.6,1.0,6951.0,184.0,-245.0,3.766,0.285,-0.095,2.758,0.499,-0.927,291.38602,42.709129,12.972,1,1
0.0,0.518071538,3.04e-06,-3.04e-06,131.92715,0.00487,-0.00487,1.264,0.693,-0.167,1.7865,0.0182,-0.0182,2200.0,17.9,-17.9,42.1,12.4,-9.33,2536.0,9823.05,8821.02,-4660.26,152.1,1.0,5876.0,184.0,-205.0,4.273,0.185,-0.185,1.209,0.357,-0.268,296.18518,43.978649,14.013,0,0
1.0,12.88291395,6.89e-05,-6.89e-05,135.18736,0.00424,-0.00424,0.962,0.048,-0.565,5.676,0.59,-0.59,461.0,18.9,-18.9,3.15,0.49,-0.44,865.0,132.23,58.83,-42.65,33.6,2.0,6036.0,120.0,-132.0,4.326,0.12,-0.12,1.131,0.176,-0.158,298.25204,40.496078,14.764,1,2
0.0,15.42040937,4.37e-06,-4.37e-06,133.516609,0.000233,-0.000233,0.955,0.174,-0.044,2.3707,0.0176,-0.0176,14800.0,71.9,-71.9,16.62,3.74,-1.6,661.0,45.03,31.02,-12.49,268.5,1.0,5468.0,164.0,-164.0,4.505,0.053,-0.158,0.88,0.198,-0.085,287.2106,44.849129,15.596,0,0
0.0,19.27082584,4.18e-06,-4.18e-06,182.5436,0.000171,-0.000171,0.169,0.059,-0.169,4.1281,0.0135,-0.0135,6660.0,13.0,-13.0,7.74,1.2,-0.42,661.0,45.05,19.36,-8.27,577.1,2.0,5779.0,104.0,-127.0,4.491,0.03,-0.128,0.956,0.147,-0.053,285.57397,38.400902,13.803,1,2
0.312,244.58323,0.0135,-0.0135,159.3552,0.0412,-0.0412,0.483,0.083,-0.4,12.822,0.752,-0.752,408.0,67.7,-67.7,2.33,0.77,-0.25,328.0,2.72,2.71,-0.87,7.1,1.0,6321.0,196.0,-239.0,4.417,0.052,-0.208,1.125,0.37,-0.123,287.72198,43.596432,15.934,0,0
0,588.63759,0.014,-0.014,246.525,0.0173,-0.0173,0.3978,0.0902,-0.3978,3.84,0.812,-0.812,322.0,81.1,-81.1,1.52,2.14,-0.16,185.0,0.28,1.55,-0.08,7.4,1.0,5135.0,167.0,-139.0,4.479,0.087,-0.711,0.849,1.2,-0.089,285.33615,49.190769,13.714,0,0
0.0,1.679585725,1.87e-07,-1.87e-07,131.5600829,9.25e-05,-9.25e-05,0.97,0.01,-0.011,7.34648,0.00562,-0.00562,102000.0,61.4,-61.4,28.99,2.57,-2.56,970.0,209.45,75.25,-60.6,1884.3,1.0,4462.0,156.0,-171.0,4.7,0.045,-0.036,0.554,0.049,-0.049,299.16168,45.05191,12.833,0,0
0,25.95247,0.00108,-0.00108,149.0004,0.0326,-0.0326,0.4398,0.0189,-0.4398,12.945,0.744,-0.744,80.8,9.4,-9.4,1.56,1.06,-0.25,946.0,189.06,420.87,-78.26,16.4,1.0,7351.0,232.0,-330.0,4.17,0.094,-0.388,1.679,1.155,-0.27,293.70566,38.95528,13.357,0,0
0,14.5909249,0.000229,-0.000229,142.72,0.0131,-0.0131,0.3084,0.1822,-0.3084,1.591,0.419,-0.419,147.0,32.0,-32.0,0.93,0.43,-0.1,622.0,35.34,50.41,-10.05,6.3,1.0,5214.0,163.0,-139.0,4.527,0.076,-0.076,0.766,0.356,-0.082,292.30566,42.302479,14.953,1,1
0.0,7.216951388,1.41e-06,-1.41e-06,176.283024,0.000155,-0.000155,1.283,0.544,-0.155,1.89082,0.00907,-0.00907,4280.0,17.0,-17.0,41.57,11.9,-6.41,1055.0,292.7,245.73,-109.71,312.2,1.0,6266.0,169.0,-207.0,4.38,0.105,-0.195,1.056,0.302,-0.163,292.24802,40.696049,14.454,0,0
0.0,6.71969089,1.39e-05,-1.39e-05,173.35776,0.00167,-0.00167,0.985,22.45,-0.029,3.0231,0.0879,-0.0879,970.0,26.2,-26.2,4.37,1.06,-0.57,952.0,194.18,143.01,-64.13,45.4,1.0,5931.0,177.0,-177.0,4.479,0.094,-0.175,0.866,0.21,-0.113,301.04956,44.706299,15.172,0,0
0.677,321.2124365,0.000404,-0.000404,206.930556,0.000994,-0.000994,0.873,0.035,-0.581,4.012,0.165,-0.165,2360.0,33.2,-33.2,7.25,1.16,-1.17,310.0,2.17,1.0,-0.76,81.7,1.0,6018.0,120.0,-120.0,4.257,0.137,-0.112,1.286,0.207,-0.207,288.32043,42.261414,13.709,1,1
0,92.57337995,0,0,171.1309675,0,0,0,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.81332,41.627468,15.181,0,0
1.0,6.83006228,7.27e-05,-7.27e-05,135.76099,0.00919,-0.00919,0.006,0.443,-0.006,3.315,0.197,-0.197,187.0,17.9,-17.9,1.09,0.25,-0.08,882.0,142.95,93.18,-34.57,12.1,1.0,5807.0,138.0,-173.0,4.576,0.038,-0.152,0.8,0.181,-0.06,289.26697,51.751221,15.17,1,1
0.985,96.169569,0.00109,-0.00109,170.2581,0.00954,-0.00954,0.049,0.411,-0.049,7.496,0.275,-0.275,895.0,52.0,-52.0,2.07,0.33,-0.14,321.0,2.52,1.3,-0.58,20.0,1.0,5340.0,160.0,-160.0,4.633,0.036,-0.09,0.702,0.112,-0.048,293.72717,42.806759,15.796,1,2
0.015,62.6825769,0.000284,-0.000284,182.22959,0.00359,-0.00359,1.095,7.102,-0.113,2.327,0.166,-0.166,399.0,26.4,-26.4,39.8,5.1,-14.3,916.0,166.36,69.32,-106.58,17.8,1.0,7058.0,191.0,-233.0,3.648,0.328,-0.082,3.101,0.398,-1.113,289.37381,50.934341,13.072,1,1
0,86.95432088,0,0,187.7282221,0,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,280.99176,46.88937,14.248,1,1
0,353.40191,0.0184,-0.0184,403.2834,0.0383,-0.0383,0.4702,0.5109,-0.2654,6.681,1.0,-1.0,948.0,144.0,-144.0,2.35,0.3,-0.19,202.0,0.39,0.17,-0.1,9.1,0,4957.0,160.0,-131.0,4.561,0.039,-0.077,0.763,0.097,-0.064,292.32425,42.88496,15.687,0,0
1.0,29.90721859,5.37e-05,-5.37e-05,175.29337,0.00135,-0.00135,0.022,0.359,-0.022,4.8475,0.0455,-0.0455,588.0,8.6,-8.6,2.16,0.26,-0.19,564.0,23.92,8.46,-5.62,79.8,1.0,5739.0,103.0,-115.0,4.476,0.068,-0.102,0.896,0.11,-0.08,285.65594,45.079559,13.437,1,2
0.988,14.3196417,0.000144,-0.000144,134.16323,0.00931,-0.00931,0.533,0.012,-0.454,3.781,0.262,-0.262,216.0,20.6,-20.6,2.06,0.33,-0.44,850.0,123.37,51.96,-51.6,12.5,1.0,5562.0,83.0,-75.0,4.151,0.195,-0.105,1.373,0.216,-0.297,293.73444,40.307201,15.076,1,1
1.0,0.82628442,1.44e-06,-1.44e-06,132.26993,0.00148,-0.00148,0.28,0.186,-0.28,0.9603,0.0532,-0.0532,135.0,6.4,-6.4,0.96,0.07,-0.05,1629.0,1654.69,370.53,-248.94,25.6,1.0,5218.0,73.0,-83.0,4.548,0.025,-0.07,0.829,0.063,-0.04,293.13705,42.350479,14.434,1,1
0.77,2.5093344,4.15e-05,-4.15e-05,133.1123,0.013,-0.013,0.019,0.515,-0.019,1.833,0.64,-0.64,184.0,52.9,-52.9,1.47,0.45,-0.19,1483.0,1143.04,1026.37,-413.75,8.4,1.0,6278.0,174.0,-261.0,4.425,0.065,-0.195,1.081,0.329,-0.141,295.37204,38.897739,15.588,1,1
0.954,67.0930642,0.000179,-0.000179,146.57047,0.00209,-0.00209,0.822,0.044,-0.568,7.334,0.134,-0.134,1250.0,18.1,-18.1,3.51,0.48,-0.17,420.0,7.38,2.86,-1.26,73.7,2.0,5750.0,102.0,-125.0,4.538,0.026,-0.11,0.882,0.121,-0.043,295.55942,40.236271,13.595,1,2
0.0,9.94221873,5.94e-05,-5.94e-05,133.84961,0.00532,-0.00532,1.171,69.65,-0.172,2.453,0.263,-0.263,487.0,46.8,-46.8,19.64,5.77,-2.65,754.0,76.56,67.44,-25.82,12.6,1.0,5213.0,155.0,-155.0,4.434,0.126,-0.273,0.917,0.269,-0.124,298.64505,42.089851,14.129,0,0
0.0,15.80110003,1.77e-06,-1.77e-06,177.1533515,8.86e-05,-8.86e-05,0.512,0.011,-0.007,6.37505,0.0052,-0.0052,37500.0,27.1,-27.1,15.61,2.83,-1.2,614.0,33.6,19.07,-7.92,1642.2,1.0,5383.0,159.0,-143.0,4.587,0.03,-0.12,0.789,0.143,-0.061,295.47067,44.010738,15.513,0,0
0.925,14.0328775,0.000291,-0.000291,138.0603,0.0185,-0.0185,0.044,0.403,-0.044,6.684,0.418,-0.418,211.0,20.6,-20.6,1.45,0.46,-0.15,783.0,88.83,85.66,-28.08,11.8,1.0,6063.0,190.0,-232.0,4.47,0.052,-0.208,1.001,0.318,-0.106,290.1499,41.4646,15.652,1,2
0.983,11.9216035,0.000118,-0.000118,137.47581,0.00815,-0.00815,0.929,0.04,-0.664,5.009,0.205,-0.205,43.2,3.1,-3.1,0.87,0.15,-0.06,851.0,123.89,52.32,-22.66,15.1,1.0,6006.0,72.0,-84.0,4.403,0.054,-0.117,1.082,0.178,-0.076,281.11234,43.227791,11.973,1,2
0.0,8.460438928,6.29e-07,-6.29e-07,133.7744903,6.27e-05,-6.27e-05,1.061,0.017,-0.008,4.73492,0.00252,-0.00252,76400.0,32.8,-32.8,36.62,6.36,-2.14,804.0,98.6,52.46,-21.18,1797.4,1.0,5951.0,160.0,-178.0,4.638,0.032,-0.128,0.702,0.122,-0.041,291.04407,36.729271,14.813,0,0
0.999,38.7149617,0.000251,-0.000251,134.0313,0.005,-0.005,0.691,0.053,-0.494,3.441,0.164,-0.164,695.0,46.3,-46.3,2.62,0.3,-0.21,498.0,14.55,4.53,-3.04,16.2,3.0,5445.0,81.0,-81.0,4.458,0.072,-0.096,0.937,0.105,-0.078,289.83542,49.82563,15.009,1,2
0.0,0.52363021,2.5e-08,-2.5e-08,131.7669254,3.96e-05,-3.96e-05,0.549,0.011,-0.015,3.45121,0.00382,-0.00382,367000.0,245.0,-245.0,52.26,6.81,-6.17,1940.0,3324.98,1447.67,-1003.77,1948.2,1.0,5407.0,160.0,-144.0,4.535,0.099,-0.081,0.745,0.097,-0.088,291.05634,38.974411,13.901,0,0
0.0,0.759766456,1.62e-06,-1.62e-06,131.7904,0.00189,-0.00189,1.238,0.25,-0.099,5.323,0.122,-0.122,481.0,8.7,-8.7,29.02,8.54,-3.68,2128.0,4850.1,4340.1,-1685.16,73.0,1.0,6174.0,193.0,-236.0,4.455,0.052,-0.195,1.026,0.302,-0.13,290.51105,40.708569,15.932,0,0
0.0,12.4258343,0.000175,-0.000175,141.5311,0.0135,-0.0135,0.967,0.042,-0.056,28.1171,0.0,0.0,449.0,5.5,-5.5,2.75,0.77,-0.31,830.0,111.92,92.05,-34.85,72.0,1.0,6185.0,168.0,-206.0,4.472,0.048,-0.192,0.991,0.277,-0.111,297.58987,40.60194,14.865,0,0
0.107,235.20613,0.0238,-0.0238,291.0893,0.0539,-0.0539,0.297,0.171,-0.297,6.989,0.942,-0.942,642.0,146.0,-146.0,1.71,0.24,-0.13,230.0,0.66,0.3,-0.15,6.8,1.0,5205.0,140.0,-155.0,4.648,0.028,-0.083,0.679,0.097,-0.048,288.43362,41.358391,15.917,0,0
0.03,453.64875,0.0673,-0.0673,296.6153,0.0859,-0.0859,0.519,0.448,-0.305,18.34,3.2,-3.2,523.0,54.6,-54.6,2.18,0.65,-0.22,239.0,0.77,0.69,-0.22,9.0,1.0,6060.0,181.0,-199.0,4.509,0.05,-0.2,0.925,0.277,-0.092,293.19342,46.91655,15.677,0,0
0,33.814176,0.00109,-0.00109,142.4542,0.0375,-0.0375,0.1563,0.3021,-0.1563,7.69,1.7,-1.7,223.0,46.0,-46.0,1.49,0.51,-0.14,589.0,28.41,28.02,-8.17,8.1,2.0,6122.0,146.0,-209.0,4.471,0.047,-0.255,0.996,0.343,-0.095,287.53177,44.30801,15.863,1,1
0.0,10.23273611,0,0,139.5844258,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,301.11429,44.825802,11.614,0,0
0,33.2948005,0.00047,-0.00047,141.5302,0.0115,-0.0115,0.03,0.4141,-0.0299,2.997,0.351,-0.351,216.0,37.9,-37.9,1.46,0.58,-0.14,600.0,30.67,35.55,-8.71,6.6,1.0,6217.0,163.0,-202.0,4.472,0.048,-0.287,0.989,0.391,-0.095,288.90735,41.35582,15.252,0,0
0.0,0.92225589,1.92e-05,-1.92e-05,131.8088,0.0167,-0.0167,0.992,0.01,-0.681,4.227,0.482,-0.482,33.0,5.6,-5.6,1.29,0.29,-0.44,2206.0,5614.19,3999.9,-3445.3,7.1,1.0,5631.0,186.0,-169.0,4.114,0.322,-0.138,1.485,0.336,-0.504,286.37338,37.919003,12.352,0,0
1.0,37.9456138,0.000211,-0.000211,134.78331,0.00459,-0.00459,0.263,0.19,-0.263,4.093,0.127,-0.127,1030.0,49.3,-49.3,2.79,0.84,-0.23,515.0,16.61,14.79,-4.17,24.0,1.0,5861.0,157.0,-174.0,4.546,0.037,-0.2,0.865,0.263,-0.07,289.1427,46.812889,15.939,1,2
0.0,2.227718792,2.55e-06,-2.55e-06,134.452638,0.000998,-0.000998,1.04,0.501,-0.032,4.9699,0.0472,-0.0472,1040.0,10.0,-10.0,8.88,2.8,-0.93,1400.0,906.46,859.25,-271.75,124.3,1.0,6038.0,181.0,-199.0,4.508,0.054,-0.216,0.922,0.291,-0.097,298.33893,41.073479,14.85,0,0
0.0,119.669671,0.00683,-0.00683,176.1667,0.0556,-0.0556,0.332,0.141,-0.332,20.67,1.2,-1.2,422.0,32.6,-32.6,2.21,0.63,-0.26,413.0,6.88,5.8,-2.21,14.2,1.0,6382.0,169.0,-226.0,4.432,0.06,-0.18,1.059,0.305,-0.122,291.12909,38.740528,15.493,0,0
0.988,7.891448838,5.06e-07,-5.06e-07,177.2499624,5.03e-05,-5.03e-05,0.306,0.022,-0.028,4.2854,0.00697,-0.00697,10300.0,6.9,-6.9,12.63,2.13,-1.42,1028.0,263.54,114.26,-67.34,1955.1,1.0,5972.0,72.0,-84.0,4.313,0.095,-0.116,1.237,0.209,-0.139,282.62967,46.32336,13.435,1,2
0.82,14.8783945,0.000135,-0.000135,142.96841,0.00642,-0.00642,0.749,0.194,-0.534,7.491,0.202,-0.202,323.0,16.1,-16.1,1.63,0.49,-0.16,692.0,54.19,47.65,-15.35,22.9,1.0,5822.0,157.0,-174.0,4.557,0.036,-0.204,0.837,0.251,-0.084,293.8656,47.026829,15.534,1,2
0.983,7.05429483,4.13e-05,-4.13e-05,136.18961,0.00519,-0.00519,0.48,0.048,-0.417,1.716,0.171,-0.171,359.0,39.2,-39.2,1.0,0.06,-0.09,497.0,14.46,2.98,-3.51,11.2,2.0,3765.0,75.0,-83.0,4.725,0.049,-0.021,0.521,0.029,-0.047,293.51108,45.136589,15.987,1,2
0.0,2.79123954,1.27e-05,-1.27e-05,131.94858,0.00356,-0.00356,0.709,0.061,-0.504,2.843,0.118,-0.118,155.0,7.3,-7.3,2.22,0.68,-0.61,1771.0,2322.96,2075.0,-1238.83,25.3,1.0,6407.0,173.0,-192.0,4.111,0.22,-0.18,1.668,0.508,-0.457,300.11902,45.510349,13.116,0,0
1.0,21.22349325,4.85e-05,-4.85e-05,170.37387,0.00192,-0.00192,0.794,0.066,-0.543,4.9416,0.0818,-0.0818,583.0,10.4,-10.4,2.63,0.37,-0.21,623.0,35.69,14.46,-7.9,60.2,2.0,5475.0,109.0,-109.0,4.43,0.081,-0.108,0.982,0.137,-0.08,287.91791,45.592869,14.129,1,2
0.0,0.695954898,6.16e-06,-6.16e-06,131.89905,0.00747,-0.00747,0.103,0.35,-0.103,1.469,0.279,-0.279,318.0,47.6,-47.6,2.58,0.82,-0.45,2740.0,13264.33,12169.09,-5378.02,8.5,1.0,6737.0,165.0,-236.0,4.243,0.105,-0.195,1.425,0.455,-0.245,297.13989,49.381618,13.496,0,0
0.994,138.944022,0.00131,-0.00131,153.90645,0.00663,-0.00663,0.195,0.245,-0.195,10.611,0.192,-0.192,530.0,21.7,-21.7,2.57,0.41,-0.28,384.0,5.13,2.29,-1.4,28.0,1.0,6014.0,108.0,-133.0,4.362,0.084,-0.116,1.115,0.18,-0.12,286.61371,38.891972,14.208,1,2
0,1.044408447,8.48e-06,-8.48e-06,132.31116,0.00717,-0.00717,0.1512,0.3045,-0.1511,3.633,0.268,-0.268,46.2,3.6,-3.6,1.17,0.82,-0.19,2745.0,13421.48,30144.16,-5459.3,15.1,4.0,7274.0,219.0,-303.0,4.161,0.096,-0.096,1.698,1.185,-0.274,289.51791,41.343632,11.865,0,0
0.0,0.668483494,2.88e-07,-2.88e-07,132.156558,0.000497,-0.000497,0.773,0.11,-0.081,2.4129,0.0232,-0.0232,723000.0,3400.0,-3400.0,138.76,0.0,0.0,2082.0,4439.53,0.0,0.0,334.3,1.0,5780.0,0,0,4.438,0,0,1.0,0,0,298.25992,48.218964,18.792,0,0
0.022,350.514,0.0181,-0.0181,210.8168,0.0492,-0.0492,0.259,0.187,-0.259,19.53,1.5,-1.5,214.0,22.0,-22.0,2.22,0.62,-0.69,346.0,3.37,2.79,-1.95,12.0,1.0,6382.0,175.0,-194.0,4.115,0.28,-0.151,1.5,0.421,-0.463,291.54568,43.789879,13.954,0,0
0.0,2.03746414,1.47e-05,-1.47e-05,131.54567,0.00574,-0.00574,0.008,0.46,-0.008,2.895,0.236,-0.236,139.0,11.8,-11.8,1.12,0.36,-0.12,1474.0,1118.26,1090.07,-327.66,14.1,2.0,6117.0,182.0,-200.0,4.496,0.052,-0.208,0.947,0.308,-0.096,295.81454,47.69035,15.341,0,0
0.507,42.093314,0.00133,-0.00133,141.1113,0.0305,-0.0305,0.035,0.42,-0.035,4.649,0.671,-0.671,886.0,142.0,-142.0,2.19,0.17,-0.22,407.0,6.47,2.17,-1.97,7.4,1.0,4885.0,174.0,-174.0,4.541,0.072,-0.044,0.763,0.059,-0.079,294.25906,46.221199,16.523,0,0
0.0,1.219736039,1.8e-06,-1.8e-06,132.12417,0.00207,-0.00207,0.229,0.011,-0.01,4.89465,0.00614,-0.00614,612000.0,881.0,-881.0,135.43,45.2,-24.3,2611.0,10982.55,10817.16,-4840.63,1037.2,1.0,7358.0,205.0,-333.0,4.171,0.128,-0.192,1.637,0.546,-0.294,285.72537,45.666431,14.871,0,0
0.992,25.2100146,0.000204,-0.000204,154.41122,0.00681,-0.00681,0.771,0.201,-0.554,6.553,0.194,-0.194,62.1,3.4,-3.4,0.95,0.04,-0.03,691.0,54.06,7.35,-7.34,18.8,4.0,6003.0,96.0,-108.0,4.303,0.018,-0.014,1.109,0.036,-0.04,295.22644,50.558979,11.811,1,2
1.0,108.593113,0.00113,-0.00113,173.75198,0.0084,-0.0084,0.007,0.446,-0.007,7.989,0.234,-0.234,338.0,15.4,-15.4,1.68,0.21,-0.21,374.0,4.64,1.71,-1.34,24.3,1.0,5678.0,113.0,-102.0,4.409,0.132,-0.088,0.921,0.115,-0.115,285.69199,45.689388,14.033,1,2
0,362.1273,0.0165,-0.0165,302.6897,0.027,-0.027,0.0924,0.3456,-0.0924,6.719,0.636,-0.636,1100.0,191.0,-191.0,1.68,0.17,-0.16,132.0,0.07,0.02,-0.02,6.5,1.0,3734.0,50.0,-50.0,4.74,0.06,-0.06,0.513,0.05,-0.05,283.98965,39.631908,15.84,0,0
